Total.DB,avg.abund.ctrl,avg.abund.case,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
0,0.899010488527372,0.360423223653801,-,2.16666666666667e-05,0.000587434725528163,-1.31864597406071,Decrease
1,9.79692972429635,4.46064202510721,-,2.16666666666667e-05,0.00119730257325183,-1.13507831774702,Decrease
2,24.449146258428,18.499378051757,-,2.16666666666667e-05,0.00224470615179546,-0.402307320265024,Decrease
3,31.2836847441892,34.0879675928221,+,2.16666666666667e-05,0.00300805217010478,0.123852134794045,Increase
4,20.976093445431,27.3185411923177,+,2.16666666666667e-05,0.00192152746344296,0.381134428215167,Increase
5,8.80519770294223,11.4936905864624,+,2.16666666666667e-05,0.0126941748156064,0.384414814695047,Increase
6,2.8833445300477,2.97288396191565,+,0.263276,0.70637686816212,0.0441199184719772,NS
7,0.679614372467727,0.621301025492214,-,0.57154,0.583267154813501,-0.129423927392656,NS
8,0.182302788242023,0.151560327898681,-,0.402534166666667,0.426975141209065,-0.266444460726799,NS
9,0.0358242107912484,0.0302618748331767,-,0.269560909090909,0.70637686816212,-0.243433551683023,NS
10,0.00723254302838645,0.00310199617594586,-,0.15743,0.0681601161226519,-1.22130609330875,NS
11,0.000272407999377924,0.000231825046306363,-,0.206411111111111,0.822997467142911,-0.232732626240305,NS
12,0.00134678360942901,1.63165177852464e-05,-,0.206411111111111,0.215601180541613,-6.36704106315411,NS
