Total.C,Total.DB,avg.abund,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
42,0,0.0116331766687061,-,0.00454666666666667,0.0114616833584224,-2.61886687463643,Decrease
42,1,0.013592871635145,-,0.00208541666666667,0.00372477577294105,-2.39867125473036,Decrease
44,0,0.0540033791885776,-,0.00344259259259259,0.0145069296503536,-2.09617776244872,Decrease
44,1,0.0451524222253237,-,0.00402678571428571,0.0167262049931479,-1.91423209168683,Decrease
46,0,0.212890217376484,-,0.000733333333333333,0.00203804081992576,-2.32412488205383,Decrease
46,1,0.225849380369239,-,0.000471428571428571,0.00174858674544966,-2.28779291095489,Decrease
46,2,0.0991549137373047,-,0.00215769230769231,0.0137658153094183,-1.7998809495845,Decrease
46,3,0.0221778887229195,-,0.0113548387096774,0.0528081342782707,-1.85888226301906,Decrease
48,0,0.693670311201041,-,0.000211538461538462,0.0011373564072866,-1.69234632736504,Decrease
48,1,1.07479387853704,-,6.875e-05,8.95651827514296e-05,-2.16449359781602,Decrease
48,2,0.55244029396801,-,0.000211538461538462,0.000467783317410834,-2.05572608527609,Decrease
48,3,0.142185676707537,-,0.00196086956521739,0.00933046791518837,-1.81311423478659,Decrease
50,1,2.96232336563593,-,6.875e-05,6.52565057856784e-05,-1.73632569900052,Decrease
50,2,2.49027960983075,-,6.875e-05,0.000247844185733729,-1.61750151000451,Decrease
50,3,0.840688042790756,-,0.00104761904761905,0.00161163442497203,-1.47488367197075,Decrease
50,4,0.173246087202657,-,0.0293228571428571,0.0362728723527299,-1.01613116852953,Decrease
50,5,0.0262199898339913,-,0.265291860465116,0.370069894299549,-0.509045953174539,NS
52,1,0.539928571114393,-,0.0225333333333333,0.701455726358842,-0.487777479810155,Decrease
52,2,3.74755218993949,-,0.000733333333333333,0.000475711699997525,-1.31435165278741,Decrease
52,3,3.27536703256329,-,0.00454666666666667,0.00908039059979834,-1.03186650480992,Decrease
52,4,1.41083237261226,-,0.121091666666667,0.275062727525879,-0.608927216512073,NS
52,5,0.263514737236365,-,0.461759375,0.354016872517349,-0.473456878508143,NS
52,6,0.0406417923280372,+,0.766170754716981,0.955421879295325,0.0204166761848267,NS
54,1,0.110772979516835,-,0.345567391304348,0.533518830524374,-0.502575150984502,NS
54,2,0.516999842734396,-,0.0416871794871795,0.147677336054643,-0.575969862119269,Decrease
54,3,1.51861854117466,-,0.0330916666666667,0.0187780957082775,-0.881195679362719,Decrease
54,4,1.27856988387727,-,0.665975961538462,0.534701194799131,-0.226680159119065,NS
54,5,0.779649184250527,+,0.2698,0.538332815426456,0.224501427232151,NS
54,6,0.394304447754833,+,0.05841,0.0673439618842773,0.645515609041299,NS
54,7,0.0730473414256637,+,0.0752963414634146,0.291074016027555,0.403319137684155,NS
54,8,0.00806846841404872,+,0.0416871794871795,0.116713976594746,0.936680136245444,Increase
56,1,0.0335239212024498,-,0.462830612244898,0.557891896155502,-0.244228315325899,NS
56,2,0.0596430396272493,-,0.321627777777778,0.334800044170583,-0.360455066694131,NS
56,3,0.10478669127268,-,0.81713,0.914224119331816,-0.0477950428605007,NS
56,4,0.145358978871889,+,0.0293228571428571,0.0142900568564785,0.888977327029242,Increase
56,5,0.233389691239586,+,0.00215769230769231,0.00279180771535579,1.22186114490158,Increase
56,6,0.281163034438135,+,0.00104761904761905,0.00174858674544966,1.42752409590238,Increase
56,7,0.239539587919164,+,0.00145,0.00298538348296145,1.29390648928278,Increase
56,8,0.136838194215041,+,0.00104210526315789,0.00178869828428617,1.46013133330999,Increase
56,9,0.0141651109033845,+,0.000733333333333333,0.00266159801017455,2.05702247948479,Increase
58,2,0.0360661782364515,-,0.665975961538462,0.59069354912686,-0.227677307378995,NS
58,3,0.0408098951748927,+,1,0.701455726358842,-0.162975997963876,NS
58,4,0.0267382271672629,+,0.0332675675675676,0.101866999170461,0.686691872990244,Increase
58,5,0.028816215950494,+,0.000733333333333333,0.000802052227059667,1.90689258238379,Increase
58,6,0.0597038404613208,+,0.000211538461538462,0.000475711699997525,1.8989502398828,Increase
58,7,0.0931812121392714,+,0.000211538461538462,0.000475711699997525,1.83436530358218,Increase
58,8,0.11426480232393,+,6.875e-05,0.00027132894169651,2.05958971315326,Increase
58,9,0.0702753584563452,+,6.875e-05,0.000284822440696611,2.64699088312993,Increase
58,10,0.0387192852611366,+,6.875e-05,0.000475711699997525,2.59286718265053,Increase
60,2,0.00875718685490679,+,0.660198,0.544241353379818,0.424868099822372,NS
60,3,0.0159849811283846,+,0.388557446808511,0.557891896155502,0.340923816290675,NS
60,4,0.013158745909034,+,0.0225333333333333,0.0148640646100652,1.57511719697258,Increase
60,7,0.0120570569076396,+,0.000211538461538462,0.00178869828428617,2.30679100129255,Increase
60,8,0.0176537213872811,+,6.875e-05,0.000247844185733729,3.16309470722998,Increase
60,10,0.0230337474979833,+,6.875e-05,8.95651827514296e-05,3.87180090807037,Increase
