Total.C,Total.DB,avg.abund,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
47,0,0.0208347665014317,-,0.0164244444444444,0.0269601734173125,-2.37908637511774,Decrease
47,1,0.0305766663504969,-,0.0172554545454545,0.0902211905410742,-1.47122054285135,Decrease
49,0,0.0304363363158228,-,0.01083,0.0254602716313956,-1.42314076879204,Decrease
49,1,0.0887463970199536,-,0.0038,0.00412787807994201,-1.5482209218699,Decrease
49,2,0.0526845062574363,-,0.00738285714285714,0.0245635162731292,-1.07557528166487,Decrease
49,3,0.0152889412898108,-,0.00738285714285714,0.0148237926300725,-1.5394888120999,Decrease
51,1,0.0919611224140034,-,0.002755,0.00226066232284765,-1.24920930581092,Decrease
51,2,0.132161103404303,-,0.002755,0.00226066232284765,-1.08162781039671,Decrease
51,3,0.0681155339035201,-,0.00738285714285714,0.0141708297422623,-0.904391347412924,Decrease
51,4,0.0156617834216222,-,0.149682,0.286661253121203,-0.542150811372543,NS
53,1,0.0180381150239651,-,0.028975,0.286661253121203,-0.650790388299579,Decrease
53,2,0.0771106937084752,-,0.0063175,0.00772994807963746,-0.901608576103414,Decrease
53,3,0.077989978898454,-,0.0172554545454545,0.0245635162731292,-0.723706986342517,Decrease
53,4,0.0395155493553319,-,0.4449,0.61469658568103,-0.158479819344566,NS
53,5,0.00888555151433095,+,0.443111666666667,0.578507118785865,0.309725821690891,NS
55,2,0.0126579660106646,-,0.02907,0.0461380280651228,-0.970738928339028,Decrease
55,3,0.0181598461657566,-,0.159944375,0.286661253121203,-0.436260924770292,NS
55,4,0.0149310993725761,+,0.443111666666667,0.333317910978279,0.362975288996491,NS
55,5,0.00878918871730138,+,0.0552357142857143,0.0364774439578629,1.28934176050584,NS
