Total.C,Total.DB,avg.abund,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
14,0,0.00048420275,-,1.85714285714286e-05,0.0484303459617753,-5.83281497902012,Decrease
16,0,0.00079467075,-,1.85714285714286e-05,0.0501374956351599,-5.74460638873306,Decrease
16,1,0.001518650875,-,1.85714285714286e-05,0.065830277899896,-6.22113826331601,Decrease
18,1,0.0021635445,-,1.85714285714286e-05,0.0501374956351599,-4.90451890998605,Decrease
18,2,0.0009487685,-,1.85714285714286e-05,0.195098445093885,-2.31970217267259,Decrease
20,2,3.89865e-05,-,1.85714285714286e-05,0.411528698212874,-3.32662565564934,Decrease
20,3,0.000273497375,-,1.85714285714286e-05,0.12030060391154,-5.2511514642746,Decrease
20,4,0.000364481375,-,0.149123,0.195098445093885,-2.51118264057646,NS
22,4,0.000142666625,-,0.0461175,0.411528698212874,-4.68778858596924,Decrease
22,5,0.000134227875,-,0.124265555555556,0.348552460679783,-5.17464508032248,NS
22,6,0.000384411625,-,0.39968,0.348552460679783,-3.1285322581788,NS
24,5,1.41125e-05,-,0.39968,0.525690208267599,-1.66969872408763,NS
24,6,3.4489625e-05,-,0.39968,0.411528698212874,-4.27074894337859,NS
