Total.DB,avg.abund.ctrl,avg.abund.case,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
0,0.0052355465,0.0001895145,-,2e-05,0.00122459850631272,-4.78795999708847,Decrease
1,0.003264003,0.000586473275,-,2e-05,0.0634545492697531,-2.47650511061967,Decrease
2,0.00467177375,0.00172584345,-,2e-05,0.123782433128569,-1.43666880278751,Decrease
3,0.00459809775,0.00284089,-,0.42638,0.318828025097769,-0.694694165253205,NS
4,0.002355,0.00321455325,+,0.4109,0.393692966490645,0.448891189754184,NS
5,0.00117237825,0.00223030125,+,0.1059375,0.0758890604646513,0.927800481740611,NS
6,0.00044242425,0.00121101325,+,0.0397285714285714,0.0165864759536195,1.45271228066935,Increase
7,0.00027346625,0.00050885475,+,0.0397285714285714,0.0649025823259516,0.895891112166481,Increase
8,0.00011983,0.0002782675,+,2e-05,0.0165864759536195,1.21548328146513,Increase
9,3.4235e-05,0.000112614,+,2e-05,0.00122459850631272,1.71784227466271,Increase
