Total.C,Total.DB,avg.abund,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
42,0,1.722375e-05,-,2.12e-05,0.136979113431513,-4.20432970344328,Decrease
42,1,7.2125e-06,-,2.12e-05,0.0563006159120453,-4.53245781873518,Decrease
44,1,7.2980625e-05,-,2.12e-05,0.0585290037207421,-4.86848437491477,Decrease
44,2,1.232175e-05,-,2.12e-05,0.184234552418243,-5.06256627095368,Decrease
46,1,0.0001566425125,-,2.12e-05,0.0563006159120453,-4.98781842424964,Decrease
46,2,8.804985e-05,-,2.12e-05,0.00856519850605772,-3.36511529426572,Decrease
46,3,1.9088375e-05,-,2.12e-05,0.0738447437669943,-4.4419087118553,Decrease
48,0,0.001192900125,-,2.12e-05,0.00140729017409926,-4.48177665870458,Decrease
48,1,0.0003651815,-,2.12e-05,0.0563006159120453,-3.24056420803365,Decrease
48,2,0.000244507375,-,2.12e-05,0.122247975866076,-2.66249735642599,Decrease
48,3,6.335425e-05,-,2.12e-05,0.183040061073283,-2.08648113650803,Decrease
48,4,1.20275e-05,-,0.5785268,0.597921508084464,-0.367826221099238,NS
50,0,0.0005230205,-,2.12e-05,0.00140729017409926,-4.92659927665528,Decrease
50,1,0.001048328625,-,2.12e-05,0.0675136824669768,-1.98089618130387,Decrease
50,2,0.000869817,-,0.0489090625,0.136979113431513,-1.21425145971348,Decrease
50,3,0.000220424,-,0.109621666666667,0.140185632696131,-1.27695187327315,NS
50,4,3.703375e-05,+,0.234413111111111,0.136979113431513,1.08603983106669,NS
52,0,0.000694899375,-,2.12e-05,0.0152285884830705,-5.16941697712531,Decrease
52,1,0.000122047875,-,2.12e-05,0.0585290037207421,-1.80675656650969,Decrease
52,2,0.00154018675,-,0.0489090625,0.184234552418243,-1.31151083843797,Decrease
52,3,0.00187134575,-,0.621336666666667,0.806692321896583,-0.160514315517059,NS
52,4,0.00093522325,+,0.37543875,0.285027689643838,0.645925656602366,NS
52,5,0.00011492625,+,0.289639361702128,0.571332068804579,0.297969869765461,NS
52,6,8.11925e-06,+,1,0.184234552418243,-0.990747869709705,NS
54,0,0.000262653,-,2.12e-05,0.00140729017409926,-5.59192029924188,Decrease
54,1,0.000129993,-,2.12e-05,0.30978683497021,-3.69838523472295,Decrease
54,2,0.000320194125,-,0.0489090625,0.212539386006869,-1.48871044477485,Decrease
54,3,0.001274012,-,0.0788884615384615,0.142456389435285,-1.47400156169691,NS
54,4,0.001457860125,+,0.491677755102041,0.742782395557808,0.20423239946848,NS
54,5,0.00124182675,+,0.109621666666667,0.095553202564871,1.00139933906339,NS
54,6,0.000559813,+,2.12e-05,0.0152285884830705,1.79465643839435,Increase
54,7,7.406e-05,+,0.0788884615384615,0.30978683497021,0.374548882846159,NS
54,8,5.37875e-06,+,0.0489090625,0.176826074976124,0.785272423979331,Increase
56,1,1.4067625e-05,-,2.12e-05,0.0307913665947422,-2.96318778285081,Decrease
56,2,3.602125e-05,-,0.0788884615384615,0.248011745855023,-0.67795801049063,NS
56,3,0.000155575375,-,1,0.912492193507257,0.0557788112012323,NS
56,4,0.000237787,+,0.109621666666667,0.0563006159120453,1.27092204991885,NS
56,5,0.0002889445,+,0.0788884615384615,0.095553202564871,0.984335920292784,NS
56,6,0.0002587865,+,0.0788884615384615,0.140185632696131,0.893600037534906,NS
56,7,0.00026473325,+,0.0489090625,0.0826836059792652,1.04926985898666,Increase
56,8,0.0001035,+,2.12e-05,0.00140729017409926,1.73948859450898,Increase
58,1,3.400125e-06,-,2.12e-05,0.00140729017409926,-3.75070565079251,Decrease
58,2,2.2355875e-05,-,2.12e-05,0.0585290037207421,-2.31617615796531,Decrease
58,3,3.45285e-05,-,0.0788884615384615,0.108024852268691,-0.574376563055337,NS
58,4,4.436875e-05,+,0.140314418604651,0.197103300139322,0.634930076921347,NS
58,5,2.83835e-05,+,2.12e-05,0.02596435765303,1.12418170227888,Increase
58,7,5.236725e-05,+,0.0489090625,0.0585290037207421,0.904273592104028,Increase
58,8,9.017e-05,+,0.0489090625,0.184234552418243,0.718307866925756,Increase
58,9,7.34245e-05,+,2.12e-05,0.00216345736115247,1.71784227466271,Increase
60,2,1.211675e-05,-,2.12e-05,0.0563006159120453,-2.77400041932072,Decrease
60,3,1.3851875e-05,-,0.0788884615384615,0.259756913918189,-0.697913941649539,NS
60,4,1.927e-05,-,0.207940681818182,0.149404774647385,-0.478242523293531,NS
60,5,1.67025e-05,-,0.289639361702128,0.152369686300897,-1.04739116287847,NS
