Total.C,Total.DB,avg.abund,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
51,0,2.183375e-05,-,2.5e-05,0.137163459816616,-3.31286591031131,Decrease
51,2,2.7627875e-05,-,2.5e-05,0.184715484493922,-2.24773590958995,Decrease
51,3,1.639625e-05,-,2.5e-05,0.0461765920096069,-2.04468451863118,Decrease
53,1,5.38375e-06,-,2.5e-05,0.0461765920096069,-2.89308479608349,Decrease
53,2,2.561e-05,-,0.0809857142857143,0.184715484493922,-0.870480464446831,NS
53,3,2.7635e-05,-,0.0809857142857143,0.184715484493922,-0.533263783399547,NS
53,4,1.22e-05,+,0.65367,0.426333892253185,0.302651993251907,NS
55,3,2.32825e-05,-,0.572488888888889,0.425585651709804,-0.587673970249664,NS
55,4,2.900625e-05,+,0.1768875,0.223305490238734,0.286053043848336,NS
55,5,1.055625e-05,+,0.0574,0.0461765920096069,0.848794195904277,NS
