Total.C,Total.DB,avg.abund,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
29,0,0.221839507333333,+,1.14285714285714e-05,0.0253537900797652,0.673461485447944,Increase
31,0,1.53269565533333,+,1.14285714285714e-05,0.00305593492197816,1.06976633390277,Increase
31,1,0.951308633166667,+,1.14285714285714e-05,0.0108200973619061,0.591128094199654,Increase
33,0,1.99835185283333,+,1.14285714285714e-05,0.0395949497732261,0.602694697205652,Increase
33,1,3.440654311,+,1.14285714285714e-05,0.07059800119272,0.316372547297446,Increase
35,0,0.408095499666667,+,0.106144,0.289569979804731,0.161252718949963,NS
35,1,3.55496350583333,+,1.14285714285714e-05,0.0422542465520546,0.37347538374798,Increase
35,2,2.88681483016667,+,1.14285714285714e-05,0.0422542465520546,0.476664199351823,Increase
35,3,0.704587776333333,+,1,0.907115580191662,-0.0217622607533935,NS
37,1,0.452485376166667,+,1.14285714285714e-05,0.00305593492197816,0.795921160393907,Increase
37,2,1.12212656183333,+,1.14285714285714e-05,0.00128498603541851,1.09516841850317,Increase
37,3,1.66730579266667,+,1.14285714285714e-05,0.0114202031824527,0.751829944858526,Increase
37,4,0.626040656666667,+,1.14285714285714e-05,0.0321959425837369,0.527993927536464,Increase
39,2,0.2265606035,+,1.14285714285714e-05,0.000239312194443674,2.52532244317067,Increase
39,4,0.567319991333333,+,1.14285714285714e-05,0.00128498603541851,1.98178727759296,Increase
41,2,0.1231101845,+,1.14285714285714e-05,0.000481836158109545,2.89732113724482,Increase
