C,DB,avg.abund,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
4,0,4.13244067066667,+,1.11111111111111e-05,0.00844898038130698,2.30810961015584,Increase
6,0,0.904154203333333,+,1.11111111111111e-05,0.00230255380096848,1.7086063724302,Increase
10,0,2.77088843116667,+,1.11111111111111e-05,6.75075186391264e-05,3.40931602397853,Increase
10,1,0.325338722,+,1.11111111111111e-05,0.000147845094488683,2.39490484474286,Increase
12,0,18.068166633,+,1.11111111111111e-05,0.000447031957305121,2.23178470643152,Increase
12,1,4.664866825,+,1.11111111111111e-05,0.000147845094488683,3.4772913335429,Increase
12,2,0.0701957026666667,+,1.11111111111111e-05,0.00859842136424584,0.799061168567096,Increase
14,0,249.859174543167,+,1.11111111111111e-05,0.00133363201653432,1.07783810902443,Increase
14,1,171.396254459667,+,1.11111111111111e-05,0.0011682687127884,1.31544295723229,Increase
14,2,7.84014250516667,+,1.11111111111111e-05,0.000555721858390038,2.42113324532062,Increase
16,0,848.047218575025,+,1.11111111111111e-05,0.00635451699314335,0.515547625169678,Increase
16,1,1582.71870835067,+,1.11111111111111e-05,0.00112375225411175,0.750418102275717,Increase
16,2,11.7937931158333,+,1.11111111111111e-05,0.000556624972195831,2.75113339082399,Increase
18,0,264.426332069,-,0.10465625,0.136684546652696,-0.180226071076261,NS
18,1,1793.2737075089,-,1.11111111111111e-05,0.00230255380096848,-0.687918415508674,Decrease
18,2,550.43205771725,-,1.11111111111111e-05,0.000157390676583818,-0.463504190345346,Decrease
18,3,91.8143443133333,-,1,0.022982340426221,0.552902608276726,NS
18,4,0.559101284666667,+,1.11111111111111e-05,3.52277299913386e-05,0.455953165974654,Increase
20,0,2.5242984595,+,0.80095,0.012193750738042,1.00747895946191,NS
20,1,15.36338552,-,1.11111111111111e-05,3.52277299913386e-05,-2.96955034636905,Decrease
20,2,93.90999184,-,1.11111111111111e-05,8.45053018224233e-05,-1.93201928586691,Decrease
20,3,331.035182716067,-,1.11111111111111e-05,6.17444285859338e-05,-1.1543077271356,Decrease
20,4,191.326955773717,+,0.10465625,0.0259587681245621,0.266239610512469,NS
20,5,34.7864060947,+,1.11111111111111e-05,0.022982340426221,0.496019923954499,Increase
22,0,9.43455551533333,-,1,0.384599017453741,0.198497756963602,NS
22,1,8.8818355305,-,1.11111111111111e-05,0.000447031957305121,-1.83917973466642,Decrease
22,2,18.2729966568333,-,1.11111111111111e-05,9.25677393299191e-05,-2.80599568580676,Decrease
22,3,69.6391529483333,-,1.11111111111111e-05,5.77042643093918e-05,-2.6352173634276,Decrease
22,4,56.7935979931667,-,1.11111111111111e-05,0.000680187387881227,-1.46651780019045,Decrease
22,5,62.9342548846667,-,1.11111111111111e-05,0.00832741119561524,-0.659825023973127,Decrease
22,6,343.380128847333,-,1.11111111111111e-05,0.00516840954951982,-1.31273583810183,Decrease
24,0,15.3279523248333,-,1.11111111111111e-05,0.00150368373262067,-1.26073620251477,Decrease
24,1,31.1707772068333,-,1.11111111111111e-05,0.000446000400253788,-1.2279196578704,Decrease
24,2,19.4490890551667,-,1.11111111111111e-05,7.42180755794464e-05,-3.41410854966085,Decrease
24,3,41.0769062455,-,1.11111111111111e-05,3.52277299913386e-05,-4.51739894666679,Decrease
24,4,49.4943712496667,-,1.11111111111111e-05,3.23848908339904e-05,-3.66120757931518,Decrease
24,5,54.974758975,-,1.11111111111111e-05,0.000293698768923698,-2.31357441131985,Decrease
24,6,107.702295556667,-,1.11111111111111e-05,0.000686288200840864,-2.52578551634493,Decrease
26,0,0.447763077666667,-,1.11111111111111e-05,0.000284823007159377,-4.96570380055178,Decrease
26,1,9.70894704223333,-,1.11111111111111e-05,3.52277299913386e-05,-4.60466973135557,Decrease
26,2,10.1582374456667,-,1.11111111111111e-05,6.17444285859338e-05,-4.30336306556626,Decrease
26,3,12.3054704793333,-,1.11111111111111e-05,3.52277299913386e-05,-4.86277062356818,Decrease
26,4,31.8880384926667,-,1.11111111111111e-05,4.2308261057794e-05,-4.63682802412889,Decrease
26,5,28.5097143536667,-,1.11111111111111e-05,0.000107191079923547,-2.73904810889812,Decrease
26,6,103.723923973333,-,1.11111111111111e-05,0.000157390676583818,-3.04777525276258,Decrease
28,4,3.38288000166667,-,1.11111111111111e-05,6.17444285859338e-05,-4.68646631900036,Decrease
28,5,8.79327204916667,-,1.11111111111111e-05,6.17444285859338e-05,-3.34963581652489,Decrease
28,6,16.7234295338333,-,1.11111111111111e-05,6.7948538578516e-05,-3.69303942827374,Decrease
30,5,1.38470153666667,-,1.11111111111111e-05,0.000157390676583818,-2.56081834463147,Decrease
30,6,3.37000543183333,-,1.11111111111111e-05,4.2308261057794e-05,-5.35671463835043,Decrease
