C,DB,avg.abund,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
11,0,1.22486614383333,+,1.05882352941177e-05,0.000173524185251554,3.36198275718319,Increase
13,0,17.0544625006667,+,1.05882352941177e-05,0.00121166079563539,2.84256138344873,Increase
15,0,144.344305713691,+,1.05882352941177e-05,0.00106314240755297,2.05560875455341,Increase
17,0,151.510065336167,+,1.05882352941177e-05,0.00601510663901416,1.07924996539621,Increase
17,1,174.167641366167,+,1.05882352941177e-05,0.00283708944351665,1.07246528797833,Increase
17,2,3.92492960533333,+,1.05882352941177e-05,0.00103234825549148,2.62651075241904,Increase
19,0,3.42415877766667,+,1.05882352941177e-05,0.135098411830864,0.309250689863524,Increase
19,1,20.7819019801667,-,1.05882352941177e-05,0.00116241881872284,-0.729643897849765,Decrease
19,2,21.4193282533333,-,1.05882352941177e-05,0.000446596272447562,-0.644854505474037,Decrease
19,3,20.374526445,-,1,0.148883764486905,0.16076536085365,NS
21,0,0.1492861735,+,1.05882352941177e-05,0.000457561999564202,4.12392348285798,Increase
21,1,0.72264159,-,1.05882352941177e-05,0.000296821705519882,-2.21123941542172,Decrease
21,2,3.8267777745,-,1.05882352941177e-05,4.22180187343799e-05,-1.95501018599212,Decrease
21,3,18.8386206483333,-,1.05882352941177e-05,0.000296821705519882,-1.30252226636531,Decrease
21,4,3.3031795925,-,1.05882352941177e-05,0.00106314240755297,-1.82956577942549,Decrease
23,1,1.20118896216667,+,1.05882352941177e-05,0.000296821705519882,2.11251663253622,Increase
23,2,1.56179159133333,-,1.05882352941177e-05,0.000173524185251554,-1.918690341618,Decrease
25,1,0.195533328833333,-,1.05882352941177e-05,5.27090296222975e-05,-3.61817688881474,Decrease
