C,DB,avg.abund,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
14,0,12.1398353845,+,1e-05,0.000192078949447355,0.988568152156604,Increase
16,0,17.505488425,+,1e-05,0.0355340631318644,0.697418287191454,Increase
16,1,238.96122765,+,1e-05,3.28795628791999e-05,1.63784541180792,Increase
16,2,11.7937931158333,+,1e-05,0.000488902267245338,2.75113339082399,Increase
18,1,347.15902065,-,1e-05,0.00250628497073491,-0.670625967247766,Decrease
18,2,280.2039272,-,1e-05,0.00184104055807549,-0.280587610710366,Decrease
18,3,30.1005393233333,-,1,0.00373283181140471,1.04680678086389,NS
20,2,83.6048590683333,-,1e-05,8.4599337630454e-05,-1.87061017282659,Decrease
20,3,182.496846516667,-,1e-05,0.000123225430491845,-1.27984524675521,Decrease
20,4,43.0140388616667,-,1e-05,0.452068708338435,-0.126695312524611,Decrease
20,5,6.09832920066667,-,1e-05,0.148711460644932,-0.493078085097151,Decrease
22,1,5.64379568066667,-,1e-05,0.000333789731020008,-2.06289320926791,Decrease
22,2,18.2729966568333,-,1e-05,7.5535275293214e-05,-2.80599568580676,Decrease
22,3,56.810954015,-,1e-05,5.33134687308356e-05,-2.50643540840766,Decrease
22,4,55.33987045,-,1e-05,0.000674218178111995,-1.4407626470149,Decrease
22,5,58.9796353983333,-,1e-05,0.00706611851642266,-0.71881596799576,Decrease
22,6,255.901097416667,-,1e-05,0.00255807521395153,-1.80251954632415,Decrease
24,1,8.47136978366667,-,1e-05,3.99605132376495e-05,-4.01508259101655,Decrease
24,2,17.9275882301667,-,1e-05,7.25169298624883e-05,-3.32485692036014,Decrease
24,3,40.8074619505,-,1e-05,3.28795628791999e-05,-4.65677785261966,Decrease
24,4,49.4943712496667,-,1e-05,2.20217257671135e-05,-3.66120757931518,Decrease
24,5,54.974758975,-,1e-05,0.000236027010662317,-2.31357441131985,Decrease
24,6,107.702295556667,-,1e-05,0.00061601228907476,-2.52578551634493,Decrease
26,1,5.39842103166667,-,1e-05,3.28795628791999e-05,-5.62505782279842,Decrease
26,2,10.1582374456667,-,1e-05,4.93625350856459e-05,-4.30336306556626,Decrease
26,3,12.3054704793333,-,1e-05,3.28795628791999e-05,-4.86277062356818,Decrease
26,4,31.8880384926667,-,1e-05,3.28795628791999e-05,-4.63682802412889,Decrease
26,5,28.5097143536667,-,1e-05,8.4599337630454e-05,-2.73904810889812,Decrease
26,6,103.723923973333,-,1e-05,0.000128430792092395,-3.04777525276258,Decrease
28,4,3.38288000166667,-,1e-05,4.93625350856459e-05,-4.68646631900036,Decrease
28,5,8.79327204916667,-,1e-05,4.93625350856459e-05,-3.34963581652489,Decrease
28,6,16.7234295338333,-,1e-05,5.33134687308356e-05,-3.69303942827374,Decrease
30,5,1.38470153666667,-,1e-05,0.000128430792092395,-2.56081834463147,Decrease
30,6,3.37000543183333,-,1e-05,3.28795628791999e-05,-5.35671463835043,Decrease
