C,DB,avg.abund,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
17,0,7.82575307183333,+,1.11111111111111e-05,0.000103692266591021,2.25385506986277,Increase
17,1,32.2622621916667,+,1.11111111111111e-05,5.52980662959402e-05,2.06097876408879,Increase
17,2,3.92492960533333,+,1.11111111111111e-05,0.000819324012294823,2.62651075241904,Increase
19,1,9.87223379166667,-,1.11111111111111e-05,0.00171448004074162,-0.692073019051141,Decrease
19,2,21.4193282533333,-,1.11111111111111e-05,0.000330812053664861,-0.644854505474037,Decrease
19,3,20.374526445,-,1,0.148883764486905,0.16076536085365,NS
21,2,3.8267777745,-,1.11111111111111e-05,2.34544548524333e-05,-1.95501018599212,Decrease
21,3,18.8386206483333,-,1.11111111111111e-05,0.000230861326515464,-1.30252226636531,Decrease
21,4,3.3031795925,-,1.11111111111111e-05,0.000842634340562996,-1.82956577942549,Decrease
23,2,1.56179159133333,-,1.11111111111111e-05,0.000103692266591021,-1.918690341618,Decrease
