C,DB,avg.abund,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
12,0,0.480196900166667,+,1.07692307692308e-05,3.10862204528186e-05,1.63456599974649,Increase
12,2,0.0701957026666667,+,1.07692307692308e-05,0.0105932551207509,0.799061168567096,Increase
14,0,12.9846179616667,+,1.07692307692308e-05,0.00340145403064119,1.61807716971986,Increase
14,1,1.69407863183333,+,1.07692307692308e-05,6.24658525999494e-05,2.46192922250568,Increase
16,0,24.3300015215,+,1.07692307692308e-05,0.00340145403064119,1.4924541947041,Increase
16,1,51.6846102626667,+,1.07692307692308e-05,0.00340145403064119,1.89750461742329,Increase
18,0,25.2767110111667,+,1.07692307692308e-05,0.00778827061222398,0.908501957723962,Increase
18,1,23.1685615231667,+,1.07692307692308e-05,0.195873257682961,0.224897031793054,Increase
18,3,0.690073838333333,-,0.10076,0.423894622171246,-0.0583585578425316,NS
18,4,0.382007419,-,1.07692307692308e-05,0.00340145403064119,-0.442926374448552,Decrease
20,2,0.263410509666667,-,1.07692307692308e-05,0.0120799413989653,-0.46451192552141,Decrease
20,4,1.2185728095,-,1.07692307692308e-05,0.0452742201624683,-0.164401028564702,Decrease
20,5,0.404592619,-,1.07692307692308e-05,0.00329232348154265,-0.474128142409652,Decrease
22,6,1.34592236266667,+,1.07692307692308e-05,0.000201881497678957,0.501682814628788,Increase
