C,DB,avg.abund,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
14,0,10.2363601695,+,1.09090909090909e-05,0.000713418739105534,1.3250211842007,Increase
16,0,106.244213230025,+,1.09090909090909e-05,0.000401336754397861,1.17549589671585,Increase
16,1,159.148265072833,+,1.09090909090909e-05,2.6616399989574e-05,1.56291915878273,Increase
18,0,153.9358977495,+,1.09090909090909e-05,0.0950993644719763,0.128359403108583,Increase
18,1,167.876116080333,+,1,0.827140818872061,-0.0134239442576788,NS
18,2,96.5936376976667,-,1.09090909090909e-05,0.00642017139180938,-0.281380416518867,Decrease
18,3,46.392005522,-,1,0.162095896731406,0.358230774142503,NS
20,3,106.050585811,-,1.09090909090909e-05,0.000438884566340409,-0.864199689169698,Decrease
20,4,142.634217087833,+,1.09090909090909e-05,0.00497021377965056,0.399346062065186,Increase
20,5,28.0926790071667,+,1.09090909090909e-05,0.00642017139180938,0.734754330289119,Increase
22,5,2.35706502533333,+,1.09090909090909e-05,0.000552152509170245,1.44124274747599,Increase
22,6,56.3724097715,+,1.09090909090909e-05,0.00971867535240341,0.460324003612174,Increase
