C,avg.abund.ctrl,avg.abund.case,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
4,1.388510223,6.87637111833333,+,1e-05,0.007266123127924,2.30810961015584,Increase
6,0.423645269666667,1.384663137,+,1e-05,0.00218719451303066,1.7086063724302,Increase
10,0.575575402666667,4.18975531366667,+,1e-05,0.000162561091585691,2.86378914676394,Increase
12,6.56361688533333,36.272473184,+,1e-05,0.000455584582916308,2.46631217953749,Increase
14,164.589546997333,451.088113928333,+,1e-05,0.000564559187419518,1.45453655806061,Increase
16,1137.303423492,1709.229008589,+,1e-05,0.00246670654228075,0.587728502257753,Increase
18,1243.99213697567,806.1509502248,-,1e-05,0.00128389377724509,-0.625855455461777,Decrease
20,63.9571935823333,10.8782683458,-,1e-05,4.71986946064507e-06,-2.555657715444,Decrease
22,41.980089112,5.778139928,-,1e-05,2.8773956578888e-05,-2.86102818219106,Decrease
24,8.80451694266667,0.375489868333333,-,1e-05,4.71986946064507e-06,-4.55139796735712,Decrease
26,4.88304645966667,0.0494390344666667,-,1e-05,3.01635177226305e-05,-6.62598712630952,Decrease
