Total.C,avg.abund.ctrl,avg.abund.case,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
36,0.575137940333333,4.661859313,+,1.07142857142857e-05,0.000363914188935227,3.01892555026987,Increase
38,0.766539034666667,3.70869097333333,+,1.07142857142857e-05,0.000789021469287355,2.2744788946859,Increase
40,0.950024137333333,6.09188276066667,+,1.07142857142857e-05,0.00023243930341575,2.68085210349655,Increase
42,4.43550467433333,20.3779293006667,+,1.07142857142857e-05,0.000421511270884068,2.19983729010536,Increase
44,19.1928486513333,61.1339955756667,+,1.07142857142857e-05,0.000509347924624448,1.67140600548732,Increase
46,31.8827242086667,84.845899261,+,1.07142857142857e-05,0.000421511270884068,1.41207002848884,Increase
48,131.303288177667,242.869590398667,+,1.07142857142857e-05,0.000509347924624448,0.887278816490788,Increase
50,203.609534761,217.814905362,+,0.29966,0.264742537231613,0.097297560496039,NS
52,207.869317493,106.137936869,-,1.07142857142857e-05,0.000456051945832735,-0.969736414479588,Decrease
54,131.847372557,29.535603816,-,1.07142857142857e-05,1.15153978333445e-05,-2.15834181023799,Decrease
56,49.6519637766667,5.81813489666667,-,1.07142857142857e-05,1.20009697837158e-06,-3.09322212705784,Decrease
58,12.7562555753333,0.679786111666667,-,1.07142857142857e-05,1.26070923153152e-07,-4.2299802103089,Decrease
60,7.36554729933333,0.176963612666667,-,1.07142857142857e-05,1.91507009981209e-07,-5.37926808081072,Decrease
62,2.843346859,0.0252055626666667,-,1.07142857142857e-05,1.85924616285087e-07,-6.81770413329197,Decrease
64,0.336057818666667,0.0037454358,-,1.07142857142857e-05,6.55399519226324e-06,-6.48743206630589,Decrease
