Total.C,avg.abund.ctrl,avg.abund.case,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
33,0.047905423,0.505270920666667,+,1e-05,0.0256515774006457,3.39879626582037,Increase
37,0.658477326,1.240518146,+,1e-05,0.223319114622948,0.913737170072777,Increase
39,0.115651363666667,1.20858360733333,+,1e-05,5.13406698403479e-05,3.38546309696584,Increase
41,0.414246808333333,4.325932911,+,1e-05,0.000159145030021596,3.38444880434493,Increase
43,1.80730481766667,14.2470103846667,+,1e-05,0.00105003183488069,2.97874745871761,Increase
45,6.519754103,40.7659514703333,+,1e-05,0.0011863739069975,2.64447522930391,Increase
47,17.2652000703333,88.5938173563333,+,1e-05,0.000828544606818459,2.35933896946036,Increase
49,33.0601289116667,114.158554792,+,1e-05,0.000828544606818459,1.78787472075145,Increase
51,30.7538808766667,55.7012657856667,+,1e-05,0.00767131880429109,0.856941634807949,Increase
53,27.1323105766667,20.218466862,-,1e-05,0.0282215463526135,-0.424338308335533,Decrease
55,7.182388986,3.20246492266667,-,1e-05,0.000163451043936668,-1.16528102055027,Decrease
57,4.92544271466667,0.999239233333333,-,1e-05,7.53848052951631e-06,-2.30135137647793,Decrease
59,1.17929341766667,0.0964845113333333,-,1e-05,2.81555721973154e-06,-3.61148154184726,Decrease
61,0.103644192333333,0.001289961,-,1e-05,2.86798513537792e-05,-6.32816801893905,Decrease
